,edge_id,interval_nVehContrib,interval_harmonicMeanSpeed
195,8918949#0,264,10.68
196,8922283,238,13.41
182,88142688,226,13.41
106,396935402,221,13.41
105,396935396,217,13.41
107,396935405#2,211,13.41
109,397094231,207,13.41
136,513970793,205,13.41
179,87297168#0,168,2.12
180,87297168#1,162,1.99
188,88396406#1,161,13.67
189,88396406#2,156,13.8
190,88396406#5,152,13.8
151,775083030#0,145,2.67
152,775083030#1,142,3.26
117,408575052,138,2.02
59,254299113#4,125,9.12
137,514604867,125,13.41
39,-706549349#1,121,3.35
49,204967525#1,116,2.82
78,27570786#5,111,6.82
181,88142687#1,111,13.41
13,-27054184#4,106,6.85
55,23157849#0,105,13.8
12,-27054184#2,104,6.85
11,-27054184#0,103,6.85
7,-255168048#14,103,13.8
32,-700922945#0,103,6.84
171,85644942#1,102,13.39
104,359898623#1,102,13.41
47,198877615#1,101,13.8
115,399163469#1,101,6.84
6,-255168048#13,100,13.8
103,359898622#0,100,13.41
79,27570802#1,99,13.8
116,399163469#2,98,6.85
48,198877615#3,97,13.8
9,-255168048#9,96,13.8
118,408600375#0,96,3.55
31,-514650998#4,93,6.85
85,28518678#1,93,13.41
80,27570802#4,93,13.62
81,279611139,93,13.41
162,85562534#0,92,13.41
8,-255168048#3,92,13.8
56,24335489#1,91,13.41
93,30030100#2,90,11.18
94,30030100#4,90,11.17
96,30030485#4,90,11.18
113,399163465#1,90,13.8
97,30030485#5,89,11.18
38,-706549349#0,89,2.32
3,-254299125#2,88,13.8
98,30030485#6,87,11.18
140,706534240#1,86,13.8
57,24335489#2,86,13.41
74,26988007#2,84,4.54
5,-254982299#1,84,13.8
60,254299113#7,84,2.66
141,706534240#6,83,13.8
102,359898157#0,83,13.41
149,706550133#1,82,2.17
167,85562592#1,81,13.41
37,-706534240#3,80,13.8
4,-254299128#1,80,11.18
50,204968628#0,78,2.2
20,-30030485#6,78,11.18
19,-30030485#5,77,11.18
36,-706534240#0,76,13.4
160,85562514#1,74,13.41
18,-30030485#4,73,11.18
75,27054184#0,73,4.18
150,775083029,72,1.1
17,-30030485#3,70,11.18
183,88142690#1,69,11.18
76,27054184#1,68,3.62
161,85562528#1,68,13.41
16,-30030485#2,68,11.18
186,88142690#5,66,11.18
185,88142690#4,66,11.18
184,88142690#3,66,11.18
187,88142690#6,64,11.18
87,288265976#0,63,3.35
124,425516661#4,62,6.85
165,85562580#1,62,13.41
69,255330035#2,61,11.18
45,148874364#5,61,11.18
89,30029703#0,60,6.85
24,-399163468,60,3.56
142,706545922#2,59,11.18
131,48211195#0,59,6.76
143,706545923#2,56,11.18
166,85562588#1,56,13.41
26,-415591483,54,6.85
1,-224384010#1,54,13.9
0,-148846998#1,54,6.85
41,-87376675#0,51,13.9
168,85562608#1,51,13.41
42,142961048#1,50,1.99
100,32931798#1,50,13.8
28,-425516650#3,49,13.8
70,262943781#1,48,13.8
58,254299113#1,48,11.18
121,417101704#1,47,13.8
27,-425516650#1,47,13.8
158,85562498#1,46,13.41
52,224199014#1,46,13.8
10,-26938155#1,45,13.8
77,27054205#1,44,13.8
120,417099344,43,13.8
133,512984874#1,43,13.8
134,512984874#2,43,13.81
51,224199013#0,42,13.8
135,512984875#0,41,13.8
192,8916867,41,13.8
159,85562505#1,40,13.41
122,417284150#2,40,13.8
123,425516649#0,39,13.8
173,87297164#0,39,13.8
82,28319343#0,39,13.8
114,399163468,39,5.25
65,255168048#1,38,13.79
86,287958607#2,37,13.8
145,706549350#0,37,11.18
91,30029867#0,37,11.18
146,706549350#3,37,11.18
147,706549350#4,37,11.18
148,706549350#5,37,11.18
178,87297164#7,37,13.8
30,-446598044#2,37,11.18
62,254299128#1,36,11.18
164,85562564#1,36,13.41
29,-446598044#0,36,11.18
44,148846995#0,35,13.8
174,87297164#13,35,13.8
90,30029846#0,35,8.59
34,-706531342#1,35,11.18
15,-30029708#1,35,11.18
95,30030472#0,35,11.18
92,30030100#0,35,10.79
53,225847527#1,35,13.8
33,-706531342#0,34,11.18
21,-397060249#1,34,11.18
23,-397264925,34,11.18
35,-706531343#0,34,11.18
177,87297164#24,34,13.8
175,87297164#18,34,13.8
22,-397135720,34,11.18
176,87297164#22,34,13.8
63,254466695#0,34,13.41
2,-24335486#1,34,11.18
99,30035647#1,33,11.18
25,-408586848,33,11.18
144,706549349#1,33,3.42
71,26938418#1,33,13.8
72,26938418#5,32,13.8
111,397146707#0,31,13.41
61,254299125#1,31,12.44
73,26938418#8,31,13.8
54,225847529#1,30,13.8
64,254758121#1,30,13.56
112,398467248#1,29,13.41
163,85562562#1,29,13.41
129,461084153#4,28,6.85
101,329596844#1,28,13.41
127,443021969#1,27,13.41
139,680783335,27,13.8
68,255168048#6,27,11.41
130,461084153#7,25,6.85
83,283512618#0,24,13.41
194,8916973#1,23,13.42
193,8916973#0,23,13.41
40,-769489484#4,23,6.85
14,-28841115#2,23,6.85
172,85644955#1,23,13.9
157,85562492#0,22,13.9
84,283512618#2,21,13.41
128,443021988#0,21,13.9
88,29328570#0,20,13.9
170,85644921#1,20,13.9
125,437384203,20,13.9
132,497520879#0,18,2.94
169,85644918#1,17,13.9
191,88463826#1,17,13.41
154,850162147#1,17,13.41
126,437384204,17,13.9
119,417091894#0,16,13.9
156,85562484#0,15,13.9
138,516129277#0,15,13.9
155,850162147#2,15,13.41
110,397140734,14,13.41
43,143666209#1,14,6.0
66,255168048#12,12,4.6
67,255168048#14,10,1.6
108,397028729,9,15.65
46,167952615,6,15.65
153,778988067,0,
