interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;300.00;edge_data_300sec_freq;54;26.27;0;54;-148846998#1;0;0;26.27;0;13.13;2.33;86.45;6.85;1.00;0.00;1.60;0.00
0.00;300.00;edge_data_300sec_freq;0;13.17;0;56;-224384010#1;0;0;6.59;54;3.29;7.90;414.39;13.90;1.00;0.00;7.54;0.00
0.00;300.00;edge_data_300sec_freq;0;10.14;0;34;-24335486#1;0;0;10.14;34;5.07;6.06;190.81;11.18;1.00;0.01;5.61;0.00
0.00;300.00;edge_data_300sec_freq;0;21.69;0;92;-254299125#2;0;0;21.69;88;10.85;10.98;953.40;13.80;1.00;0.00;10.62;0.00
0.00;300.00;edge_data_300sec_freq;0;24.18;0;83;-254299128#1;0;0;24.18;80;12.09;9.85;762.06;11.18;1.00;0.00;9.40;0.00
0.00;300.00;edge_data_300sec_freq;0;20.72;0;88;-254982299#1;0;0;20.72;84;10.36;10.96;908.71;13.80;1.00;0.02;10.59;0.00
0.00;300.00;edge_data_300sec_freq;0;24.46;0;103;-255168048#13;0;0;24.46;100;12.23;7.79;752.22;13.80;1.00;0.00;7.43;0.00
0.00;300.00;edge_data_300sec_freq;0;24.87;0;103;-255168048#14;0;0;24.87;103;12.44;1.41;108.05;13.80;1.00;0.00;1.05;0.00
0.00;300.00;edge_data_300sec_freq;0;22.65;0;96;-255168048#3;0;0;22.65;92;11.33;11.00;997.22;13.80;1.00;0.00;10.63;0.00
0.00;300.00;edge_data_300sec_freq;0;23.65;0;100;-255168048#9;0;0;23.65;96;11.83;10.99;1040.71;13.80;1.00;0.00;10.63;0.00
0.00;300.00;edge_data_300sec_freq;0;11.03;0;47;-26938155#1;0;0;11.03;45;5.52;6.72;290.28;13.80;1.00;0.00;6.36;0.00
0.00;300.00;edge_data_300sec_freq;0;50.35;0;104;-27054184#0;0;0;50.35;103;25.18;2.87;220.99;6.85;1.00;0.02;2.14;0.00
0.00;300.00;edge_data_300sec_freq;0;51.10;0;106;-27054184#2;0;0;51.10;104;25.55;5.85;537.29;6.85;1.00;0.02;5.12;0.00
0.00;300.00;edge_data_300sec_freq;0;52.66;0;111;-27054184#4;0;0;52.66;106;26.33;13.21;1350.97;6.85;1.00;0.00;12.48;0.00
0.00;300.00;edge_data_300sec_freq;23;12.27;0;28;-28841115#2;0;0;12.27;0;6.13;15.76;378.87;6.85;1.00;0.00;15.03;0.00
0.00;300.00;edge_data_300sec_freq;0;10.64;0;36;-30029708#1;0;0;5.32;35;2.66;10.49;358.25;11.18;1.00;0.02;10.04;0.00
0.00;300.00;edge_data_300sec_freq;0;20.59;0;70;-30030485#2;0;0;20.59;68;10.30;9.97;657.37;11.18;1.00;0.01;9.52;0.00
0.00;300.00;edge_data_300sec_freq;0;21.44;0;73;-30030485#3;0;0;21.44;70;10.72;9.71;666.21;11.18;1.00;0.03;9.27;0.00
0.00;300.00;edge_data_300sec_freq;0;22.37;0;77;-30030485#4;0;0;22.37;73;11.18;9.82;703.39;11.18;1.00;0.03;9.38;0.00
0.00;300.00;edge_data_300sec_freq;0;23.08;0;78;-30030485#5;0;0;23.08;77;11.54;5.23;370.37;11.18;1.00;0.00;4.78;0.00
0.00;300.00;edge_data_300sec_freq;0;23.53;0;80;-30030485#6;0;0;23.53;78;11.77;5.12;369.00;11.18;1.00;0.00;4.68;0.00
0.00;300.00;edge_data_300sec_freq;0;10.14;0;34;-397060249#1;0;0;5.07;34;2.53;4.07;123.18;11.18;1.00;0.00;3.62;0.00
0.00;300.00;edge_data_300sec_freq;0;10.14;0;34;-397135720;0;0;10.14;34;5.07;4.85;149.67;11.18;1.00;0.01;4.40;0.00
0.00;300.00;edge_data_300sec_freq;0;10.14;0;34;-397264925;0;0;10.14;34;5.07;4.02;121.31;11.18;1.00;0.00;3.57;0.00
0.00;300.00;edge_data_300sec_freq;0;58.31;0;63;-399163468;0;0;58.31;60;29.16;9.89;528.51;3.56;0.26;392.13;8.48;0.00
0.00;300.00;edge_data_300sec_freq;0;9.84;0;34;-408586848;0;0;4.92;33;2.46;4.93;147.93;11.18;1.00;0.00;4.48;0.00
0.00;300.00;edge_data_300sec_freq;0;26.64;0;55;-415591483;0;0;26.64;54;13.32;3.03;126.03;6.85;1.00;0.00;2.30;0.00
0.00;300.00;edge_data_300sec_freq;0;11.53;0;49;-425516650#1;0;0;11.53;47;5.77;7.51;341.40;13.80;1.00;0.01;7.15;0.00
0.00;300.00;edge_data_300sec_freq;0;12.06;0;51;-425516650#3;0;0;12.06;49;6.03;7.90;376.26;13.80;1.00;0.00;7.53;0.00
0.00;300.00;edge_data_300sec_freq;0;10.75;0;37;-446598044#0;0;0;5.37;36;2.69;10.01;344.58;11.18;1.00;0.00;9.56;0.00
0.00;300.00;edge_data_300sec_freq;0;11.03;0;37;-446598044#2;0;0;5.52;37;2.76;2.61;79.92;11.18;1.00;0.00;2.16;0.00
0.00;300.00;edge_data_300sec_freq;0;47.17;101;0;-514650998#4;0;0;47.17;93;23.59;22.10;2071.46;6.85;1.00;0.25;21.37;0.00
